WKN;ISIN;TICKER;TYP;NAME;TRUENAMES
A2DN9U;IE00BYXYYK40;IS02.DE;ETF;ISHSII-JPM DL EM BD DLA;iShares J.P. Morgan $ EM Bond UCITS ETF USD (Acc)
A0NECU;IE00B2NPKV68;IUS7.DE;ETF;ISHSII-JPM DL EM BD;iShares J.P. Morgan $ EM Bond UCITS ETF USD (Dist)
A2PGVX;IE00BJ5JPH63;3SUD.DE;ETF;ISHSII-JPM DL EM BD EOHA;iShares J.P. Morgan $ EM Bond UCITS ETF EUR Hedged (Acc)
A2JQ2J;IE00BDDRDW15;36B1.DE;ETF;ISHSII-JPM.ESG DL EM B.U.;iShares J.P. Morgan ESG $ EM Bond UCITS ETF USD (Dist)
A2PTCF;IE00BKP5L730;SLMG.DE;ETF;ISHSII-JPM.ESG DL EMB;iShares J.P. Morgan ESG $ EM Bond UCITS ETF EUR Hedged (Acc)
A0Q1YZ;IE00B2QWDR12;IUS9.DE;ETF;ISHSII-MSCI ACFE XJSC;iShares MSCI AC Far East ex-Japan Small Cap UCITS ETF USD (Dist)
A0NA47;IE00B27YCP72;IUSE.DE;ETF;ISHSII-MSCI EM ISL.DLDIS;"iShares S&amp;P 500 EUR Hedged UCITS ETF (Acc)"
A2DRG4;IE00BYYHSM20;QDVX.DE;ETF;ISHSII-MSCI EU.QUA.DV.;iShares MSCI Europe Quality Dividend UCITS ETF EUR (Dist)
A1H7ZS;IE00B52VJ196;IUSK.DE;ETF;ISHSII-MSCI EUR.SRI;iShares MSCI Europe SRI UCITS ETF EUR (Acc)
A0NA48;IE00B296QM64;IUSF.DE;ETF;ISHSII-MSCI USA ISL.DLDIS;iShares Edge MSCI USA Size Factor UCITS ETF USD (Acc)
A2DRG5;IE00BYYHSQ67;QDVW.DE;ETF;ISHSII-MSCI WL.QUA.DV.;iShares MSCI World Quality Dividend UCITS ETF USD (Dist)
A1JKDK;IE00B44CGS96;EUNX.DE;ETF;ISHSII-US AGGREG.BD;iShares US Aggregate Bond UCITS ETF USD (Dist)
A2JE32;IE00BDFJYM28;EUNE.DE;ETF;ISHSII-US AGGREG.BD;iShares EURO STOXX 50 UCITS ETF EUR (Dist)
A0RL83;IE00B4WXJJ64;EUNH.DE;ETF;ISHSIII-C.EO GOV. B.EODIS;iShares Core Govt Bond UCITS ETF EUR (Dist)
